name,ksads1_id,ksads2_id
mh_p/y_ksads__cond__screen__past_006y__yr,534,
mh_p/y_ksads__cond__screen__past_006z__mo,535,
mh_p/y_ksads__cond__screen__past_006z__yr,535,
mh_p/y_ksads__cond__screen__past_006aa__mo,536,
mh_p/y_ksads__cond__screen__past_006aa__yr,536,
mh_p/y_ksads__cond__screen__past_006ab__mo,537,
mh_p/y_ksads__cond__screen__past_006ab__yr,537,
mh_p/y_ksads__cond__screen__past_006ac__mo,538,
mh_p/y_ksads__cond__screen__past_006ac__yr,538,
mh_p/y_ksads__cond__screen__past_006ad__mo,539,
mh_p/y_ksads__cond__screen__past_006ad__yr,539,
mh_p/y_ksads__cond__screen__past_006ae__mo,540,
mh_p/y_ksads__cond__screen__past_006ae__yr,540,
mh_p/y_ksads__tic__screen__pres_001,546,362
mh_p/y_ksads__tic__screen__past_001,547,363
mh_p/y_ksads__tic__screen__past_001__01,548,
mh_p/y_ksads__tic__screen__pres_002,549,364
mh_p/y_ksads__tic__screen__past_002,550,365
mh_p/y_ksads__tic__screen__past_002__01,551,
mh_p/y_ksads__tic__screen__pres_003a__mo,552,366
mh_p/y_ksads__tic__screen__pres_003a__yr,552,366
mh_p/y_ksads__tic__screen__pres_003b__mo,553,367
mh_p/y_ksads__tic__screen__pres_003b__yr,553,367
mh_p/y_ksads__tic__screen__pres_003c__mo,554,368
mh_p/y_ksads__tic__screen__pres_003c__yr,554,368
mh_p/y_ksads__tic__screen__past_003a__mo,555,
mh_p/y_ksads__tic__screen__past_003a__yr,555,
mh_p/y_ksads__tic__screen__past_003b__mo,556,
mh_p/y_ksads__tic__screen__past_003b__yr,556,
mh_p/y_ksads__tic__screen__past_003c__mo,557,
mh_p/y_ksads__tic__screen__past_003c__yr,557,
mh_p/y_ksads__asd__screen__pres_001,558,369
mh_p/y_ksads__asd__screen__past_001,559,370
mh_p/y_ksads__asd__screen__pres_002,560,371
mh_p/y_ksads__asd__screen__past_002,561,372
mh_p/y_ksads__asd__screen__pres_003,562,373
mh_p/y_ksads__asd__screen__past_003,563,374
mh_p/y_ksads__asd__screen__pres_004a__mo,564,375
mh_p/y_ksads__asd__screen__pres_004b__mo,565,376
mh_p/y_ksads__asd__screen__pres_004c__mo,566,377
mh_p/y_ksads__asd__screen__pres_004d__mo,567,378
mh_p/y_ksads__asd__screen__pres_004e__mo,568,379
mh_p/y_ksads__asd__screen__pres_004f__mo,569,380
mh_p/y_ksads__asd__screen__pres_004g__mo,570,381
mh_p/y_ksads__asd__screen__past_004a__mo,571,382
mh_p/y_ksads__asd__screen__past_004a__yr,571,382
mh_p/y_ksads__asd__screen__past_004b__mo,572,383
mh_p/y_ksads__asd__screen__past_004b__yr,572,383
mh_p/y_ksads__asd__screen__past_004c__mo,573,384
mh_p/y_ksads__asd__screen__past_004c__yr,573,384
mh_p/y_ksads__asd__screen__past_004d__mo,574,385
mh_p/y_ksads__asd__screen__past_004d__yr,574,385
mh_p/y_ksads__asd__screen__past_004e__mo,575,386
mh_p/y_ksads__asd__screen__past_004e__yr,575,386
mh_p/y_ksads__asd__screen__past_004f__mo,576,387
mh_p/y_ksads__asd__screen__past_004f__yr,576,387
mh_p/y_ksads__asd__screen__past_004g__mo,577,388
mh_p/y_ksads__asd__screen__past_004g__yr,577,388
su_p/y_ksads__aud__screen_001___1,578,389
su_p/y_ksads__aud__screen_001___10,578,389
su_p/y_ksads__aud__screen_001___11,578,389
su_p/y_ksads__aud__screen_001___12,578,389
